artist	date	venue	notes
Gatekeeper	7/15/2011	Pitchfork Fest 2011, Chicago	
Gaudi	8/9/2013	The Big Up, Claverack, NY	
George Ezra	7/28/2015	Terminal 5	With Renee Becks and Mom
Ghostface Killah	2/7/2009	Hamilton College	
Giant Panda Guerilla Dub Squad	5/7/2010	Wescott Theatre, Syracuse	Opened for Easy Star All-Stars
Girl Talk	3/22/2008	University of Rochester	First time
Girl Talk	9/5/2008	Colgate University	Second time, stage collapsed
Girl Talk	6/12/2009	Bonnaroo 2009	Third time
Gold Panda	7/12/2014	Saugerties, NY	Hudson Music Project
Gotye	3/25/2012	Terminal 5	
Gotye	4/25/2012	Terminal 5	
Govinda	1/3/2015	Slake	Tipper After-party
Gramatik	7/14/2013	Camp Bisco 12	Best set of the weekend, with Josh Hering
Gramatik	1/24/2015	Best Buy Theater	With Sam Berman
Gravity A	7/13/2013	Camp Bisco 12	
Grimes	3/23/2012	Mercury Lounge	
Grizzly Bear	10/6/2007	Hamilton College	First time seeing them
Grizzly Bear	6/12/2009	Bonnaroo 2009	Second time
Grizzly Bear	6/9/2013	Governor's Ball, Randall's Island NYC	
Guster	8/9/2006	NY High Falls, Rochester	Went with my mom
Haywyre	7/17/2015	Camp Bisco	
Hey Ocean!	8/3/2012	Osheaga, Montreal, Quebec	
Hieroglyphics	8/21/2014	Brooklyn Bowl	Free ticket from Sam
Higher Organix	7/29/2011	Big Up 2	
Holy Fuck	8/9/2013	The Big Up, Claverack, NY	
Holy Ghost	7/11/2014	Saugerties, NY	Hudson Music Project
HONEY	7/13/2012	Big Mouth	
Hoobastank	1/17/2004	Worcester Centrum Centre, Boston	
Hot Club of San Francisco	11/17/2007	Munson-Williams, Utica	
Icona Pop	6/8/2013	Governor's Ball, Randall's Island NYC	
ill.gates	9/27/2013	Bushwick Warehouse	
Ilovemakonnen	4/29/2015	Music Hall of Williamsburg 	With Becks, we were so tired that we hung on the couches until he went on
Infected Mushroom	1/1/2011	Hammerstein Ballroom	NYE 2011 w/ Steph & Powers
Ingrid Michaelson	2/21/2008	Hamilton College	
Isiah Rashad	7/13/2014	Saugerties, NY	Hudson Music Project
J Phlip	7/17/2015	Camp Bisco 13	
Jacklndn	7/17/2015	Camp Bisco 13	
James Blake	7/15/2011	Pitchfork Fest 2011, Chicago	
Janelle Monae	9/18/2010	Terminal 5	With Renee and Mike Reyes
Janelle Monae 	1/28/2014	College in Bronx 	
Janelle Monae 	6/6/2014	Governor's Ball	Similar show to in Feb
Jason Mraz	5/16/2006	Turning Stone Casino	
Javelin	11/1/2009	Great Scott, Boston	Opened for The Very Best
Jeff Bujak	9/7/2012	Catskill Chill, Hancock NY	
Jeff Bujak	8/9/2013	The Big Up, Claverack, NY	
Jeff Bujak 	12/8/2011	The Middle East, Boston	
Jeff Mangum	11/6/2011	Loew's Theatre, NJ	
Jeff Mangum	10/29/2011	Town Hall	
Julian Casblancas	6/6/2014	Governor's Ball	
Justice	8/5/2012	Osheaga, Montreal, Quebec	
Justice 	3/16/2012	Terminal 5	
Justin Jay	7/17/2015	Camp Bisco 13	
K'naan	7/17/2009	Camp Bisco 8	
Kanye West	6/9/2013	Governor's Ball, Randall's Island NYC	
Kanye West 	11/19/2013	Barclays Center	
Katrtradamus	8/4/2012	Osheaga, Montreal, Quebec	
Kendrick Lamar	6/8/2013	Governor's Ball, Randall's Island NYC	
Kendrick Lamar	7/12/2014	Saugerties, NY	Hudson Music Project
Kendrick Lamar 	11/19/2013	Barclays Center 	
Kevin Barnes	4/11/2014	Le Poisson Rouge	Acoustic Set, Played Old Tracks, With Joe & Liz
Keys and Krates	8/5/2012	Osheaga, Montreal, Quebec	
Kid Koala	10/1/2009	Great Scott, Boston	
Kill the Noise	7/17/2015	Camp Bisco	
Kirk Knight	2/11/2015	SOB's	
Knife City	12/14/2011	Glasslands	
Knife Party	8/5/2012	Osheaga, Montreal, Quebec	
Kung Fu	8/10/2013	The Big Up, Claverack, NY	Prince Tribute Set
Kung Fu	7/16/2015	Camp Bisco	
Kung Fu	6/20/2015	Saranac Brewery	
Kurt Vile and the Violators	7/17/2011	Pitchfork Fest 2011, Chicago	
Kygo	9/28/2014	Music Hall of Williamsburg 	
Lafa Taylor	10/23/2014	Best Buy Theater	Creature Carnival
LCD Soundsystem	7/18/2009	Camp Bisco 8	James Murphy & Pat did Disco set
Lemonade	10/2/2012	Bowery Ballroom	
Lettuce	9/4/2009	Berklee's Cafe 939, Boston	
Linkin Park	1/17/2004	Worcester Centrum Centre, Boston	Meteora World Tour
Little Dragon	8/4/2012	Osheaga, Montreal, Quebec	
Lotus	7/7/2011	Camp Bisco 10	
LP	8/3/2012	Osheaga, Montreal, Quebec	
LTJ Bukem	7/14/2013	Camp Bisco 12	With Matt Cook and Matt O Bryan
Lupe Fiasco	9/19/2008	Stanley Theatre	
Lykke Li	8/1/2011	Central Park Summerstage	
M83	8/5/2012	Osheaga, Montreal, Quebec	
Madeon	8/5/2012	Osheaga, Montreal, Quebec	
